,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
8,791192504216 ,백앤아 1 - 미스터리 100층 감옥,국내도서,"백앤아(원작),안성훈",/,"13,500원",2023년 01월 27일
9,788956608556 ,구의 증명(은행나무 노벨라 7),국내도서,최진영,/,"7,200원",2015년 03월 30일
10,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일
11,791169792035 ,스즈메의 문단속 (양장)(신카이 마코토 하드커버 시리즈),국내도서,신카이마코토,/,"13,050원",2023년 02월 27일
12,791185701752 ,나는 대한민국 검사였다 - 누가 노무현을 죽였나,국내도서,이인규,/,"18,000원",2023년 03월 24일
13,788936448370 ,고양이 해결사 깜냥5-편의점을 환하게 밝혀라,국내도서,홍민정,/,"9,900원",2023년 02월 22일
14,791191521221 ,K 배터리 레볼루션-향후 3년 새로운 부의 시장에서 승자가 되는 법,국내도서,박순혁,/,"17,100원",2023년 02월 20일
15,791191043297 ,오늘 밤 세계에서 이 사랑이 사라진다 해도,국내도서,이치조미사키,/,"12,600원",2021년 06월 28일
16,791169794879 ,타키 포오 코믹 어드벤처 1 - 캐릭온TV 오리지널 코믹스,국내도서,"안도감,캐릭온TV(원작)",/,"11,700원",2023년 03월 21일
17,788934944546 ,흔한남매 과학 탐험대7-생물1,국내도서,"흔한남매,김언정,이현진",/,"12,600원",2023년 03월 15일
18,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일
19,791169792974 ,슬램덩크 챔프,국내도서,이노우에타케히코,/,"13,500원",2023년 01월 06일
20,791169794930 ,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,국내도서,이노우에 타케히코,/,"18,000원",2023년 02월 16일
2023년 4월,,,,,,,
1,791168473690 ,세이노의 가르침,국내도서,세이노(SayNo),/,"6,480원",2023년 03월 02일
2,791169791977 ,스즈메의 문단속,국내도서,신카이 마코토,/,"11,700원",2023년 01월 13일
3,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
4,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
5,791168415157 ,에그박사 9-자연 생물 관찰 만화,국내도서,"에그박사,박송이",/,"13,050원",2023년 03월 28일
6,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
7,791188469994 ,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),국내도서,김상현,/,"15,300원",2022년 04월 20일
8,791168415232 ,흔한남매 13,국내도서,"흔한남매,백난도",/,"13,050원",2023년 04월 25일
9,791169792035 ,스즈메의 문단속 (양장)(신카이 마코토 하드커버 시리즈),국내도서,신카이마코토,/,"13,050원",2023년 02월 27일
10,791169794879 ,타키 포오 코믹 어드벤처 1 - 캐릭온TV 오리지널 코믹스,국내도서,"안도감,캐릭온TV(원작)",/,"11,700원",2023년 03월 21일
11,791198013026 ,김미경의 마흔 수업(이미 늦었다고 생각하는 당신을 위한),국내도서,김미경,/,"16,200원",2023년 02월 15일
12,788934944546 ,흔한남매 과학 탐험대7-생물1,국내도서,"흔한남매,김언정,이현진",/,"12,600원",2023년 03월 15일
13,788956608556 ,구의 증명(은행나무 노벨라 7),국내도서,최진영,/,"7,200원",2015년 03월 30일
14,791192504216 ,백앤아 1 - 미스터리 100층 감옥,국내도서,"백앤아(원작),안성훈",/,"13,500원",2023년 01월 27일
15,791168415171 ,슈뻘맨의 숨은 과학 찾기 1 - 엉뚱 도전 속에 숨은 과학 상식,국내도서,"서후,슈뻘맨(원작)",/,"12,600원",2023년 03월 23일
16,791188331888 ,사장학개론,국내도서,김승호,/,"22,500원",2023년 04월 19일
17,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일
18,791191891287 ,메리골드 마음 세탁소,국내도서,윤정은,/,"13,500원",2023년 03월 06일
19,788960519794 ,장하준의 경제학 레시피 - 마늘에서 초콜릿까지 18가지 재료로 요리한 경제 이야기,국내도서,장하준,/,"16,200원",2023년 03월 30일
20,791191521221 ,K 배터리 레볼루션-향후 3년 새로운 부의 시장에서 승자가 되는 법,국내도서,박순혁,/,"17,100원",2023년 02월 20일
2023년 5월,,,,,,,
1,791168473690 ,세이노의 가르침,국내도서,세이노(SayNo),/,"6,480원",2023년 03월 02일
2,791168415232 ,흔한남매 13,국내도서,"흔한남매,백난도",/,"13,050원",2023년 04월 25일
3,791169791977 ,스즈메의 문단속,국내도서,신카이 마코토,/,"11,700원",2023년 01월 13일
4,791188331888 ,사장학개론,국내도서,김승호,/,"22,500원",2023년 04월 19일
5,791192504216 ,백앤아 1 - 미스터리 100층 감옥,국내도서,"백앤아(원작),안성훈",/,"13,500원",2023년 01월 27일
6,791169794879 ,타키 포오 코믹 어드벤처 1 - 캐릭온TV 오리지널 코믹스,국내도서,"안도감,캐릭온TV(원작)",/,"11,700원",2023년 03월 21일
7,791197647666 ,기분이 태도가 되지 말자,국내도서,김수현,/,"14,400원",2022년 11월 25일
8,791192579504 ,바다가 들리는 편의점,국내도서,마치다 소노코,/,"14,400원",2023년 03월 24일
9,791168415171 ,슈뻘맨의 숨은 과학 찾기 1 - 엉뚱 도전 속에 숨은 과학 상식,국내도서,"서후,슈뻘맨(원작)",/,"12,600원",2023년 03월 23일
10,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일
11,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일
12,791188469994 ,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),국내도서,김상현,/,"15,300원",2022년 04월 20일
13,791192504230 ,백앤아 2 - 달콤바삭 요정 과자집,국내도서,"백앤아(원작),주눅",/,"13,500원",2023년 05월 17일
14,791169796583 ,최애의 아이 1,국내도서,아카사카아카,/,"5,400원",2023년 03월 28일
