,교보문고,2022.07~2023.05,임규찬,,,,,,,YES24,2022.07~2022.06,구영인,,,,,,,영풍문고,2022.07~2023.06,우종연,,,,,,,알라딘,2022.07~2023.06,진수영,,,,
,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일,,,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
2022년07월,,,,,,,,,2022년7월,,,,,,,,,2022년 7월,,,,,,,,,2022년7월,,,,,,,
1,9788954699914 ,하얼빈,소설,김훈,9.8,"14,400원",2022년08월03일,,1,9788954699914 ,하얼빈,소설/시/희곡,김훈,9.4,"14,400원",2022년 08월 03일,,1,788954699914 ,하얼빈,국내도서,김훈,/,"14,400원",2022년 08월 03일,,1,9791140410552 ,데뷔 못 하면 죽는 병 걸림 1부 초판 한정 굿즈박스 세트,소설/시/희곡,백덕수,9.6,"85,500원",2022-12-08
2,9791161571379 ,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일,,2,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022년 08월 10일,,2,791161571379 ,불편한 편의점2(단풍 에디션),국내도서,김호연,/,"12,600원",2022년 08월 10일,,2,9788954699914 ,하얼빈,소설/시/희곡,김훈,8.6,"14,400원",2022-08-03
3,9791161571188 ,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일,,3,9788901260716 ,역행자,자기계발,자청,9.3,"15,750원",2022년 05월 30일,,3,791161571188 ,불편한 편의점(벚꽃 에디션),국내도서,김호연,/,"12,600원",2021년 04월 20일,,3,9788936438838 ,아버지의 해방일지,소설/시/희곡,정지아,9.4,"13,500원",2022-09-02
4,9791168340541 ,파친코 2,소설,이민진,9.8,"14,220원",2022년08월25일,,4,9791168412477 ,흔한남매 11,어린이,흔한남매,9.8,"13,050원",2022년 07월 28일,,4,788901260716 ,역행자,국내도서,자청,/,"15,750원",2022년 05월 30일,,4,9791161571379 ,불편한 편의점 2,소설/시/희곡,김호연,9.2,"12,600원",2022-08-10
5,9788997575169 ,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일,,5,9788932474755 ,헤어질 결심 각본,예술,박찬욱,9.9,"13,500원",2022년 08월 05일,,5,791168412477 ,흔한남매 11,국내도서,"흔한남매,백난도",/,"13,050원",2022년 07월 28일,,5,9788932040448 ,나는 오래된 거리처럼 너를 사랑하고,소설/시/희곡,진은영,9.4,"10,800원",2022-08-31
6,9791191891201 ,잘될 수밖에 없는 너에게(10만부 기념 응원 에디션),시/에세이,최서영,9.4,"14,400원",2022년08월18일,,6,9791161571188 ,불편한 편의점,소설/시/희곡,김호연,9.2,"12,600원",2021년 04월 20일,,6,791191043754 ,세상의 마지막 기차역-리커버 에디션,국내도서,무라세다케시,/,"12,600원",2022년 05월 11일,,6,9791140410507 ,데뷔 못 하면 죽는 병 걸림 1부 초판 양장본 세트 - 전2권,소설/시/희곡,백덕수,9.9,"27,000원",2022-12-08
7,9791191043754 ,세상의 마지막 기차역(리커버 에디션),소설,무라세 다케시,9.7,"12,600원",2022년05월09일,,7,9791157062645 ,계속 가보겠습니다,사회 정치,임은정,9.5,"16,200원",2022년 07월 22일,,7,791168340510 ,파친코 1-개정판,국내도서,이민진,/,"14,220원",2022년 07월 27일,,7,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.4,"14,220원",2022-08-25
8,9791168412477 ,흔한남매 11,어린이(초등),흔한남매,9.9,"13,050원",2022년07월28일,,8,9791168340541 ,파친코 2,소설/시/희곡,이민진,9.6,"14,220원",2022년 08월 25일,,8,791168340541 ,파친코 2-개정판,국내도서,이민진,/,"14,220원",2022년 08월 25일,,8,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.4,"14,220원",2022-07-27
9,9791196617127 ,기분을 관리하면 인생이 관리된다,시/에세이,김다슬,9.4,"15,840원",2022년04월12일,,9,9791168340510 ,파친코 1,소설/시/희곡,이민진,9.6,"14,220원",2022년 07월 27일,,9,791133463817 ,포켓몬스터 썬&문 포켓몬 전국대도감,국내도서,편집부,/,"8,550원",2017년 10월 20일,,9,9791161571188 ,불편한 편의점 (벚꽃 에디션),소설/시/희곡,김호연,8.4,"12,600원",2021-04-20
10,9791158883591 ,부자 아빠 가난한 아빠 1(20주년 특별 기념판),경제/경영,로버트 기요사키,9.7,"15,300원",2022년10월28일,,10,9791130677774 ,웰씽킹 WEALTHINKING,자기계발,켈리 최,9.4,"14,400원",2021년 11월 10일,,10,788997575169 ,원씽(THE ONE THING)(리커버 특별판),국내도서,"게리켈러,제이파파산",/,"12,600원",2017년 10월 25일,,10,9791136755780 ,얼굴만으론 좋아할 수 없어요 5,만화,안자이 카린,9.8,"4,950원",2022-09-30
11,9791162540633 ,그릿(50만부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,9.6,"16,200원",2022년12월19일,,11,9791191043754 ,세상의 마지막 기차역,소설/시/희곡,무라세 다케시,9.6,"12,600원",2022년 05월 11일,,11,791191043761 ,멘탈을 바꿔야 인생이 바뀐다(10만부 리커버),국내도서,박세니,/,"15,120원",2023년 05월 15일,,11,K172839306,도쿄 에일리언즈 4 (초판 한정 홀로그램 양면 일러스트 카드 + 선착순 한정 아크릴 일러스트 카드 포함 특장판),만화,NAOE,10,"4,500원",2022-10-25
12,9788934942405 ,최소한의 이웃,시/에세이,허지웅,9.6,"14,220원",2022년08월22일,,12,9791158883591 ,부자 아빠 가난한 아빠 20주년 특별 기념판,경제 경영,로버트 기요사키,9.4,"15,300원",2018년 02월 22일,,12,788964964767 ,오싹오싹 크레용(토토의 그림책),국내도서,에런레이놀즈,/,"11,700원",2022년 08월 23일,,12,9788932474755 ,헤어질 결심 각본,예술/대중문화,박찬욱,9.9,"13,500원",2022-08-05
13,9788936438838 ,아버지의 해방일지,소설,정지아,9.9,"13,500원",2022년09월02일,,13,9791197825996 ,오늘도 취향을 요리합니다,에세이,박미셸(it’s Michelle),9.6,"13,500원",2022년 08월 19일,,13,791168412620 ,민쩌미 코디북 1 - 잘생긴 전학생의 등장,국내도서,민쩌미,/,"12,150원",2022년 08월 30일,,13,9788901260716 ,역행자,자기계발,자청,7.4,"15,750원",2022-06-03
14,9791191496604 ,설민석의 한국사 대모험 22,어린이(초등),설민석,9.9,"11,700원",2022년08월29일,,14,9791197377143 ,"어서 오세요, 휴남동 서점입니다",소설/시/희곡,황보름,9.2,"13,500원",2022년 01월 17일,,14,791158883591 ,부자아빠 가난한 아빠 1(20주년 특별 기념판),국내도서,로버트기요사키,/,"15,300원",2018년 02월 22일,,14,9791197977008 ,문장과 순간,에세이,박웅현,8.3,"16,200원",2022-09-26
15,9791140700998 ,믹스(Mix),경제/경영,안성은(Brand Boy),9.6,"16,920원",2022년08월16일,,15,9791162540633 ,그릿 (50만 부 판매 기념 리커버 골드에디션),자기계발,앤절라 더크워스,8.9,"16,200원",2019년 02월 20일,,15,791191496604 ,설민석의 한국사 대모험 22,국내도서,"설민석,스토리박스",/,"11,700원",2022년 08월 29일,,15,9791191496604 ,설민석의 한국사 대모험 22,어린이,설민석,10,"11,700원",2022-08-29
16,9788964964767 ,오싹오싹 크레용!,유아(0~7세),에런 레이놀즈,9.9,"11,700원",2022년08월23일,,16,9791196617127 ,기분을 관리하면 인생이 관리된다,에세이,김다슬,9.2,"15,840원",2022년 04월 12일,,16,788950922955 ,마법천자문54-처음으로 찾아내다,국내도서,유대영,/,"12,600원",2022년 08월 29일,,16,9788934942405 ,최소한의 이웃,에세이,허지웅,9.5,"14,220원",2022-08-22
