,ISBN,책 제목,도서 장르,저자,평점,판매가격,발행일
13,9788936448370,고양이 해결사 깜냥 5: 편의점을 환하게 밝혀라!,어린이(초등),홍민정,9.9,"9,900원",2023년02월24일
14,9791197647666,기분이 태도가 되지 말자,시/에세이,김수현,9.4,"14,400원",2022년11월25일
15,9791190538510,만일 내가 인생을 다시 산다면(30만 부 기념 리커버 에디션),인문,김혜남,9.7,"15,480원",2022년11월11일
16,9791188469994,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),시/에세이,김상현,9.8,"15,300원",2022년04월20일
17,9791161571379,불편한 편의점 2(단풍 에디션),소설,김호연,9.8,"12,600원",2022년08월10일
18,9791168340855,내면소통,인문,김주환,9.7,"29,700원",2023년02월27일
19,9788965422785,해커스 토익 기출보카 TOEIC VOCA(토익보카) 단어장,외국어,David Cho,9.7,"11,610원",2022년03월14일
20,9791158741846,한밤중의 심리학 수업,자기계발,황양밍,9.8,"15,570원",2023년04월10일
2023년04월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),9.3,"6,480원",2023년03월02일
2,9791188331888,사장학개론,경제/경영,김승호,9.9,"22,500원",2023년04월19일
3,9791198013026,이미 늦었다고 생각하는 당신을 위한,자기계발,김미경,9.6,"16,200원",2023년02월15일
4,9791169791977,스즈메의 문단속,소설,신카이 마코토,9.7,"11,700원",2023년01월13일
5,9788960519794,장하준의 경제학 레시피,경제/경영,장하준,9.6,"16,200원",2023년03월30일
6,9788954691741,2023 제14회 젊은작가상 수상작품집,소설,이미상,9.6,"6,930원",2023년04월05일
7,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
8,9791188469994,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),시/에세이,김상현,9.8,"15,300원",2022년04월20일
9,9791191891287,메리골드 마음 세탁소,소설,윤정은,9.5,"13,500원",2023년03월06일
10,9791130697529,거인의 노트,자기계발,김익한,9.8,"16,200원",2023년03월08일
11,9791191521221,K 배터리 레볼루션,경제/경영,박순혁,9.6,"17,100원",2023년02월20일
12,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
13,9791168415232,흔한남매 13,어린이(초등),흔한남매,9.9,"13,050원",2023년04월25일
14,9791188754588,브라질에 비가 내리면 스타벅스 주식을 사라(교보문고 단독 리커버 에디션),경제/경영,피터 나바로,9.7,"16,200원",2022년04월25일
15,9788956608556,구의 증명,소설,최진영,9.6,"7,200원",2015년03월30일
16,9791190299770,모든 삶은 흐른다,인문,로랑스 드빌레르,9.3,"15,120원",2023년04월03일
17,9791169850179,아주 세속적인 지혜,자기계발,발타자르 그라시안,9.7,"12,150원",2023년03월24일
18,9788937427831,돌연한 출발,소설,프란츠 카프카,9.7,"14,400원",2023년04월07일
19,9791168340855,내면소통,인문,김주환,9.7,"29,700원",2023년02월27일
20,9791169792035,스즈메의 문단속,소설,신카이 마코토,9.7,"13,050원",2023년02월27일
2023년05월,,,,,,,
1,9791168473690,세이노의 가르침,자기계발,세이노(SayNo),9.3,"6,480원",2023년03월02일
2,9791168415232,흔한남매 13,어린이(초등),흔한남매,9.9,"13,050원",2023년04월25일
3,9791188331888,사장학개론,경제/경영,김승호,9.9,"22,500원",2023년04월19일
4,9791190299770,모든 삶은 흐른다,인문,로랑스 드빌레르,9.3,"15,120원",2023년04월03일
5,9791169791977,스즈메의 문단속,소설,신카이 마코토,9.7,"11,700원",2023년01월13일
6,9791191891287,메리골드 마음 세탁소,소설,윤정은,9.5,"13,500원",2023년03월06일
7,9791188469994,당신은 결국 무엇이든 해내는 사람(10만 부 기념 특별 리커버 에디션),시/에세이,김상현,9.8,"15,300원",2022년04월20일
8,9788997575169,원씽(The One Thing)(리커버 특별판),자기계발,게리 켈러,9.7,"12,600원",2013년08월30일
9,9791158741907,"챗GPT, 질문이 돈이 되는 세상",경제/경영,전상훈,9.8,"16,920원",2023년05월20일
10,9788937427831,돌연한 출발,소설,프란츠 카프카,9.7,"14,400원",2023년04월07일
11,9791167372864,구의 증명,소설,최진영,9.6,"10,800원",2023년04월26일
12,9791167140609,내가 가진 것을 세상이 원하게 하라,자기계발,최인아,9.7,"15,750원",2023년04월19일
13,9788901272580,역행자(확장판),자기계발,자청,9.4,"17,550원",2023년05월29일
14,9788960519794,장하준의 경제학 레시피,경제/경영,장하준,9.6,"16,200원",2023년03월30일
15,9788954691741,2023 제14회 젊은작가상 수상작품집,소설,이미상,9.6,"6,930원",2023년04월05일
16,9791198013026,이미 늦었다고 생각하는 당신을 위한,자기계발,김미경,9.6,"16,200원",2023년02월15일
17,9791165347161,나의 돈 많은 고등학교 친구,자기계발,송희구,9.5,"16,200원",2023년04월28일
18,9791167740984,도둑맞은 집중력,인문,요한 하리,9.7,"16,920원",2023년04월28일
19,9791188331796,돈의 속성(300쇄 리커버에디션),경제/경영,김승호,9.7,"16,020원",2020년06월15일
20,9791161571188,불편한 편의점(벚꽃 에디션),소설,김호연,9.8,"12,600원",2021년04월20일
